company	rank
COOPER MARKETS s.r.o	https://web.coopermarkets.com
iAlphagroup	http://www.ialphagroup.com
Zurich Markets Limited	http://www.zurichmarkets.com
Novak Peter Financial Advisors & Solutions (Clone of EEA authorised firm)	http://www.novakpeter.com
24 News Trade	http://www.24news.trade
TradeTime / Trade Time (trading name of Capital Process Ltd)	https://www.tradetime.com
Blockchain Ltd / Blockchain.com (clone of FCA authorised firm)	http://blockchain.com
McLaren Asset Management (clone of EEA authorised firm)	http://www.mclaren-am.com
UK Bonds Company	http://ukbonds-company.com/
https://market.wikifx.hk	https://market.wikifx.hk
Ubrokers / Ubrokers.com	http://ubrokers.com
Cater Allen Private Banking	http://www.caterallen.ca
Golden Hill Corporate sp. z o.o.	http://www.grandtrade.exchange
SwissKapital	https://swisskapital.eu/
Steiner Greves	http://steinergreves.com
www.skyway.capital/	www.skyway.capital/
JC Capital Ltd.	http://www.jccapitalmarkets.com
WWW.WTCINVERSION.COM	http://www.wtcinversion.com
WWW.ANGELESINVERSIONISTAS.ES	http://www.angelesinversionistas.es
Online-Trading.io	http://www.online-trading.io
The Royal London Mutual Insurance Society Limited	http://www.royallondonam.com
Q Teck	http://qteck.io
FG Markets	http://fgmarkets.com/
"Hbc Market Ltd and Zentrale Zahlstelle Ltd, GAM Group Ltd and Llc, Ic Prime Broker, ""Iacademy"", ""Mibtrades"", ForTradersFx Ltd"	http://www.golden-cfd.com
Arbistar 2.0, S.L., “Mistertrader” and “Redfin Capital”, Maginito Services Ltd and NBG Market (KI) Limited, “European Trade 24” and “Allegra TM”  “Pro Star”	http://www.golden-cfd.com
http://yuandaqihuogongsi.b58b.com	http://yuandaqihuogongsi.b58b.com
https://caelusasset.com	https://caelusasset.com
Fraudulent online trading platforms	http://www.bitcoinera.com
www.qdyywlkj.com	www.qdyywlkj.com
Concord Financial Consult Ltd	http://www.concordfinancialconsult.com
Arrow Capital	https://www.lvgrowmarkets.com
Ai Markets	http://www.ai-markets.ch
www.zzqhgj.com	www.zzqhgj.com
https://cescaptial.com	https://cescaptial.com
Bond Supermarket UK	http://bondsupermarketuk.com
Mango Money Markets	http://mangomoneymarkets.com
CloudForexOptions	http://www.cloudforexoptions.com
Ebitcoino Limited	http://investright.org
Canada-Crypto.com	http://canada-crypto.com
Cash Forex Group	https://cashfxgroup.com/
ExpressOptions247	http://www.expressoptions247.com
UK Best Bonds	https://ukbest-bonds.com/
Runwill sp. z o.o.	http://www.grandtrade.exchange
Top-Up Finance Ltd/ Topup Finance LTD/ Topup Finance (Clone of FCA authorised firm)	http://www.topupfinance.co.uk
Allianz Investor Relations (clone of EEA authorised firms)	http://www.allianzir.com
Preston Chapman Consulting Group LLC/Preston-Chapman Consulting Group LLC	http://www.prestonchapmanconsultinggroup.com
Bubblext	http://www.bubblext.com
www.chgadvisors.com	www.chgadvisors.com
website www.capfinance-gestion.com	website www.capfinance-gestion.com
MDX500	http://www.mdx500.com
Legendary Learning and Tradinvest	https://www.abe-infoservice.fr/
4FXLUXUS Pvt Ltd and Global Pegasus LTD, Pure M Global Limited, Giuseppe Eros Lana, FS International LTD, Evergo Ltd	http://www.golden-cfd.com
http://hrgj168.com	http://hrgj168.com
Dreyfus Corporation	http://www.dreyfuscorporation.com
BUY UK BONDS	http://buyukbonds.com
Fixed Savers Ltd	http://www.fixedsavers.com
Mycoinology	http://www.mycoinology.com
Logic IQ LLP	http://www.logiciq.co
https://worldmarkets.com/	https://worldmarkets.com/
https://mastertradingfx.com	https://mastertradingfx.com
https://stocklux.co/	https://stocklux.co/
https://finance-intl.com/es/	https://finance-intl.com/es/
https://royaltyfinance.io/	https://royaltyfinance.io/
https://energy-markets.io/es/	https://energy-markets.io/es/
https://www.sfx247.com/	https://www.sfx247.com/
https://bsb-global.io/	https://bsb-global.io/
https://intrgroups.com/	https://intrgroups.com/
https://tradeit-brokerhouse.com/	https://tradeit-brokerhouse.com/
www.wealthcapital.fm/es	www.wealthcapital.fm/es
https://crypto-course.ltd/	https://crypto-course.ltd/
https://swiftcryptofx.com/	https://swiftcryptofx.com/
https://quantfury.com/es/	https://quantfury.com/es/
https://es.eurswiss.com/	https://es.eurswiss.com/
https://moontradefx.com/	https://moontradefx.com/
https://fxg.market/	https://fxg.market/
www.24tradex.com	www.24tradex.com
www.duxacapital.com	www.duxacapital.com
https://platinumproinvestment.com	https://platinumproinvestment.com
http://pecuniaco.com	http://pecuniaco.com
https://globalfxs.org/?lang=esp	https://globalfxs.org/?lang=esp
www.fxpertos.com/	www.fxpertos.com/
www.fortunetradefx.com  (CLON)	www.fortunetradefx.com  (CLON)
https://cryptocashfx.com	https://cryptocashfx.com
https://binarytrades24.com/	https://binarytrades24.com/
https://alpinumcg.com/	https://alpinumcg.com/
https://24primeoption.com/	https://24primeoption.com/
https://nimbusplatform.io	https://nimbusplatform.io
www.posedonfx.com	www.posedonfx.com
https://atlasfx.co/index.html	https://atlasfx.co/index.html
website www.otc-markets.eu	website www.otc-markets.eu
The Cube Fund EU	http://www.cubefundeu.com
Yifeng Meng and Ling Sen Luo	http://gmail.com
UK Bond Central	http://ukbondcentral.com
GCG International	http://www.gcginternational.net
website www.energie-5.com	website www.energie-5.com
Bank Popular	https://bank-popular.de.tl/
Wantuch Investment	http://www.grandtrade.exchange
AXA Investment Managers / AXA plc (clone of FCA authorised firm / FCA recognised product / UK registered company)	http://www.axa-im.co.uk
Budsfx	http://www.budsfx.com
Forge Global UK	http://www.forgeglobaluk.com
Swiss Prime; Swiss Prime Limited	https://swissprime.cc/
Fraudulent Lenders	http://toutbiencalcule.ca
bond-invest.com	http://bond-invest.com
Insight Investment Group/ Insight Premium (Clone of FCA authorised firm)	http://www.insightinvestment.com
Jacob & Grunfeld (clone of EEA authorised firm)	http://www.jacobgrunfeld.com
RBC Capital Markets / RBC Investor & Treasury Services / RBC Financial Group (clone of authorised firm)	https://www.rbccm.com
Markets profit / Marketsprofit.com / Profit Market Trading (clone of FCA authorised firm)	http://marketsprofit.com
Meritkapital.co (clone of FCA authorised firm)	http://meritkapital.co
Fast Loan UK / Fast Finance UK LTD (clone of an EEA authorised firm	http://www.ukleadtech.com
MarginElite  /  Margin Elite	https://marginelite.com
Invicta-Securities (clone of FCA authorised firm)	http://www.invicta-securities.com
Mymarketexpert.com	http://mymarketexpert.com
bondmarket.vip	http://bondmarket.vip
Fixed Rate Search	http://www.fixedratesearch.com
The ISA Finder	http://www.theisafinder.com
Fx Leader Italia, Globalinvestfx Ltd, Fx-globalinvest Ltd, Crypto Engine, Lengvin Partners Ltd	http://www.golden-cfd.com
the-ratesclub.com	http://the-ratesclub.com
Patrycja Kojder-Orent TANIA KASA	http://www.grandtrade.exchange
Golden Dawn (IT), DBFX Limited, Elevate4x Ltd, Hanabishi Partners Ltd, 4EX7 Ltd	http://www.golden-cfd.com
Esos International Ltd and Kakedy International S.R.O, Royaltyfinance, Swissgems Ltd and Media Solutions Ltd, Premium Solutions Ltd, Broker Major Ltd	http://www.golden-cfd.com
Evolution Trading	http://evolution-trading.ltd
Beforex Capital	https://beforexcapital.com
DGXLTD	https://www.dgxltd.com/
Tenants Disrepair Help	https://www.facebook.com/tenantsdisrepairhelp
InvestTeck	http://www.investteck.com
